product_id,product_name,price,rating,url
P0189,Samsung Galaxy Tab S10 Ultra 5G 16GB 1TB,37720000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-s10-ultra-5g-16gb
P0190,iPad Pro 11 M5 2025 Nano 5G 2TB,72790000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-pro-11-m5-2025-nano-wifi-cellular
P0191,Lenovo Idea Tab Plus Matte Edition WiFi 8GB 256GB,11090000,4.9,https://fptshop.com.vn/may-tinh-bang/lenovo-idea-tab-plus-wifi-8gb
P0192,Lenovo Idea Tab Pro Gen 2 Matte Edition WiFi 12GB 512GB,19590000,4.9,https://fptshop.com.vn/may-tinh-bang/lenovo-idea-tab-pro-gen-2-matte-edition-wifi-12gb
P0193,Máy tính bảng trẻ em JoyStar J10 4G 4GB 64GB,3490000,4.9,https://fptshop.com.vn/may-tinh-bang/joystar-j10
P0194,Samsung Galaxy Tab S11 WiFi 12GB 128GB,20490000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-s11-wifi
P0195,OPPO Pad 5 WiFi 8GB 256GB,13990000,4.9,https://fptshop.com.vn/may-tinh-bang/oppo-pad-5-wifi
P0196,Honor Pad X7 WiFi 4GB 128GB,3590000,4.9,https://fptshop.com.vn/may-tinh-bang/honor-pad-x7-wifi
P0197,Huawei MatePad SE 11 WiFi 8GB 128GB,6490000,4.9,https://fptshop.com.vn/may-tinh-bang/huawei-matepad-se-11-wifi-8gb
P0198,Masstel Tab 11 Pro 4G 4GB 128GB,3690000,4.9,https://fptshop.com.vn/may-tinh-bang/masstel-tab-11-pro-4g
P0199,Xiaomi Redmi Pad 2 9.7 4G 4GB 64GB,5690000,4.9,https://fptshop.com.vn/may-tinh-bang/xiaomi-redmi-pad-2-9-7-4g
P0200,iPad A16 WiFi 128GB,12490000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-a16-wifi
P0201,Samsung Galaxy Tab A9 WiFi 8GB 128GB,3190000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-a9-wifi-128gb
P0202,Samsung Galaxy Tab A11 WiFi 4GB 64GB,3690000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-a11-wifi
P0203,Lenovo Legion Tab Gen 5 WiFi 16GB 512GB,25890000,4.9,https://fptshop.com.vn/may-tinh-bang/lenovo-legion-tab-gen-5-wifi-16gb
P0204,iPad Pro 13 M5 2025 WiFi 16GB 2TB,74890000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-pro-13-m5-2025-wifi-16gb
P0205,Xiaomi Redmi Pad 2 WiFi 6GB 128GB,6290000,4.9,https://fptshop.com.vn/may-tinh-bang/xiaomi-redmi-pad-2
P0206,Samsung Galaxy Tab S11 5G 12GB 128GB,24190000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-s11
P0207,Samsung Galaxy Tab A11 4G 4GB 64GB,4490000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-a11
P0208,Lenovo Idea Tab 5G 8GB 256GB,7890000,4.9,https://fptshop.com.vn/may-tinh-bang/lenovo-idea-tab-5g
P0209,Huawei MatePad 11.5 2026 WiFi 8GB 128GB,9990000,4.9,https://fptshop.com.vn/may-tinh-bang/huawei-matepad-115-2026
P0210,Samsung Galaxy Tab S11 Ultra 5G 12GB 256GB,33490000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-s11-ultra
P0211,iPad Air 11 M4 2026 5G 128GB,23390000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-air-11-inch-m4-2026-5g
P0212,Xiaomi Redmi Pad 2 9.7 WiFi 4GB 64GB,4790000,4.9,https://fptshop.com.vn/may-tinh-bang/xiaomi-redmi-pad-2-9-7
P0213,Samsung Galaxy Tab S10 Plus Wifi 12GB 256GB,19990000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-s10-plus-wifi
